Parcela,Dap (cm),H (m),Idade (anos)
p-1,22.28,0,15
p-1,23.87,22.2,15
p-1,25.46,0,15
p-1,25.78,24.5,15
p-1,26.74,22.2,15
p-1,28.65,0,15
p-1,29.28,25.7,15
p-1,29.6,25.2,15
p-1,30.24,0,15
p-1,30.24,0,15
p-1,30.56,0,15
p-1,30.56,0,15
p-1,31.19,23.2,15
p-1,31.83,24.7,15
p-1,31.83,25.5,15
p-1,32.15,26,15
p-1,33.42,0,15
p-1,33.42,0,15
p-1,34.38,25,15
p-1,35.65,24.7,15
p-1,35.65,0,15
p-1,36.61,26.2,15
p-1,37.88,26.2,15
p-1,37.88,26.2,15
p-1,39.15,25,15
p-1,42.34,26.2,15
p-1,43.29,26.2,15
p-2,23.24,0,16
p-2,25.46,0,16
p-2,26.74,0,16
p-2,28.33,0,16
p-2,28.97,24.5,16
p-2,30.56,0,16
p-2,30.56,0,16
p-2,31.83,26,16
p-2,32.47,0,16
p-2,33.1,0,16
p-2,33.1,0,16
p-2,33.74,27.5,16
p-2,33.74,0,16
p-2,34.7,28,16
p-2,34.7,0,16
p-2,35.33,0,16
p-2,35.97,25,16
p-2,36.61,0,16
p-2,38.2,0,16
p-2,38.52,25.5,16
p-2,38.52,0,16
p-2,39.15,29,16
p-2,39.79,28,16
p-2,41.06,29,16
p-2,42.97,30,16
p-2,45.52,30.5,16
p-2,45.84,28,16
p-3,23.24,0,17
p-3,25.78,0,17
p-3,26.42,0,17
p-3,28.33,0,17
p-3,30.24,28.2,17
p-3,30.24,0,17
p-3,30.88,0,17
p-3,32.79,28,17
p-3,33.74,0,17
p-3,33.74,0,17
p-3,33.74,0,17
p-3,34.38,30.2,17
p-3,35.01,31.9,17
p-3,35.01,0,17
p-3,35.65,0,17
p-3,35.97,0,17
p-3,37.56,27.5,17
p-3,37.56,0,17
p-3,38.2,0,17
p-3,39.15,29,17
p-3,39.47,31,17
p-3,39.79,34,17
p-3,40.11,0,17
p-3,41.7,32,17
p-3,44.25,34.7,17
p-3,46.47,29.6,17
p-3,46.79,33,17
p-4,23.55,0,18
p-4,26.42,0,18
p-4,27.06,0,18
p-4,29.28,0,18
p-4,30.24,0,18
p-4,31.83,29.2,18
p-4,32.47,0,18
p-4,34.38,28.2,18
p-4,35.33,32.4,18
p-4,35.33,0,18
p-4,35.33,0,18
p-4,35.65,0,18
p-4,36.29,32,18
p-4,37.24,0,18
p-4,37.56,0,18
p-4,37.88,0,18
p-4,39.79,0,18
p-4,40.11,25.6,18
p-4,40.11,0,18
p-4,40.43,29.1,18
p-4,40.74,31.4,18
p-4,41.38,32.1,18
p-4,42.97,0,18
p-4,43.93,29.7,18
p-4,46.15,36.8,18
p-4,47.75,28.9,18
p-4,49.02,33.2,18
p-5,23.55,0,19
p-5,26.74,0,19
p-5,27.37,0,19
p-5,29.6,0,19
p-5,30.56,0,19
p-5,32.79,30.7,19
p-5,33.1,0,19
p-5,35.33,30.2,19
p-5,36.61,33.5,19
p-5,36.92,0,19
p-5,36.92,0,19
p-5,36.92,0,19
p-5,37.24,32.1,19
p-5,38.2,0,19
p-5,38.52,0,19
p-5,39.15,0,19
p-5,40.74,0,19
p-5,41.06,30,19
p-5,41.06,28.7,19
p-5,41.06,0,19
p-5,41.7,33.7,19
p-5,42.34,32.5,19
p-5,44.88,0,19
p-5,45.2,30,19
p-5,48.06,37.5,19
p-5,49.66,29.7,19
p-5,51.25,35.4,19
